open,high,low,close,volume,amount,timestamps
418.08,420.97,410.4,413.38,23818,9845884.84,2018-08-10
409.2,409.2,392.88,405.42,34570,14015369.4,2018-08-13
405.42,410.7,399.71,406.33,21697,8816142.01,2018-08-14
406.0,406.2,387.2,389.0,34997,13613833.0,2018-08-15
378.2,394.7,366.2,374.64,59940,22455921.599999998,2018-08-16
383.7,383.7,356.21,361.06,46575,16816369.5,2018-08-17
358.65,371.75,343.06,370.99,48852,18123603.48,2018-08-20
373.2,398.5,373.2,397.69,52249,20778904.81,2018-08-21
397.2,399.4,389.2,393.9,20676,8144276.399999999,2018-08-22
397.9,404.7,391.38,396.41,27357,10844588.370000001,2018-08-23
395.2,395.2,382.66,386.5,26090,10083785.0,2018-08-24
388.2,413.5,388.2,413.5,48017,19855029.5,2018-08-27
419.2,419.98,404.75,407.2,32489,13229520.799999999,2018-08-28
408.2,415.08,405.3,412.05,27404,11291818.200000001,2018-08-29
414.41,418.8,405.21,406.6,33788,13738200.8,2018-08-30
402.45,403.2,382.7,385.39,58981,22730687.59,2018-08-31
378.2,393.87,377.0,392.41,30180,11842933.8,2018-09-03
393.0,402.2,387.8,401.24,21540,8642709.6,2018-09-04
401.2,403.19,383.2,383.99,28983,11129182.17,2018-09-05
378.2,385.46,366.2,370.2,42371,15685744.2,2018-09-06
371.7,384.23,371.34,377.17,29240,11028450.8,2018-09-07
378.4,380.01,366.9,371.0,21202,7865942.0,2018-09-10
371.77,377.17,366.83,372.2,19497,7256783.399999999,2018-09-11
369.2,371.07,354.21,356.2,41157,14660123.4,2018-09-12
364.2,368.2,346.2,358.18,47713,17089842.34,2018-09-13
360.18,375.98,354.73,369.1,40900,15096190.0,2018-09-14
371.2,379.16,367.26,372.01,29113,10830327.129999999,2018-09-17
369.2,394.2,368.42,392.9,37859,14874801.1,2018-09-18
392.78,412.2,392.2,407.62,48222,19656251.64,2018-09-19
411.4,413.1,403.56,404.75,27519,11138315.25,2018-09-20
408.2,426.21,406.21,426.21,42617,18163791.57,2018-09-21
421.2,431.97,419.46,423.22,30640,12967460.8,2018-09-25
428.3,458.88,428.19,451.13,72288,32611285.44,2018-09-26
453.7,454.2,441.6,450.2,40509,18237151.8,2018-09-27
452.9,459.4,445.08,456.2,35090,16008058.0,2018-09-28
441.61,445.2,412.35,412.35,82745,34119900.75,2018-10-08
413.1,424.91,412.1,421.2,40223,16941927.599999998,2018-10-09
423.46,424.2,395.89,397.12,63098,25057477.76,2018-10-10
361.21,395.14,361.21,371.19,91582,33994322.58,2018-10-11
377.2,398.88,376.78,394.2,54473,21473256.599999998,2018-10-12
395.69,398.15,386.23,393.1,35607,13997111.700000001,2018-10-15
392.18,405.73,388.21,393.34,26394,10381815.959999999,2018-10-16
401.2,403.5,376.1,391.92,43077,16882737.84,2018-10-17
